Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""5defe88a-5d68-4b7d-9f7e-30d4c84bd00c""","""Alex Ford Azure Account""","""be6226b6-194c-4a44-8203-e81926e6af9d""","""Visual Studio Professional with MSDN""",0,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
201508(7/17/2015 - 8/16/2015),"""Networking""",,"""Data Transfer In (GB)""","""Zone 1""",,"""GB""",0.87059400,0.00000000,0,0.87059400,USD,0,0,0,$0.00 USD
201508(7/17/2015 - 8/16/2015),"""Networking""",,"""Data Transfer Out (GB)""","""Zone 1""","""7TD-00001""","""GB""",0.85870900,0.00000000,0,0.85870900,USD,0,0,0.0815177202055643995812318259,$0.07 USD
201508(7/17/2015 - 8/16/2015),"""Data Management""",,"""Storage Transactions (in 10,000s)""",,"""7UD-00001""","""10,000s""",342.35580000,0.00000000,0,342.35580000,USD,0,0,0.0003505125369571656154211496,$0.12 USD
201508(7/17/2015 - 8/16/2015),"""Azure App Service""",,"""Free App Service""",,,"""Apps""",5.79801600,0.00000000,0,5.79801600,USD,0,0,0,$0.00 USD
201508(7/17/2015 - 8/16/2015),"""Azure App Service""",,"""Shared App Service Hours""",,"""7UD-00001""","""Hours""",5785.00000000,0.00000000,0,5785.00000000,USD,0,0,0.0130008643042350907519446845,$75.21 USD
201508(7/17/2015 - 8/16/2015),"""Virtual Machines""","""A1 VM (Non-Windows)""","""Compute Hours""","""US West""","""7UD-00001""","""Hours""",318.73338800,0.00000000,0,318.73338800,USD,0,0,0.0599874400356199897075106546,$19.12 USD
201508(7/17/2015 - 8/16/2015),"""Virtual Machines""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""7UD-00001""","""Hours""",1481.70015400,0.00000000,0,1481.70015400,USD,0,0,0.0599986439631563944617096935,$88.90 USD
201508(7/17/2015 - 8/16/2015),"""Storage""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""7UD-00001""","""GB""",21.82942300,0.00000000,0,21.82942300,USD,0,0,0.0948261435952750560562228328,$2.07 USD

Daily Usage
Usage Date,Meter Category,Meter Id,Meter Sub-category,Meter Name,Meter Region,Unit,Consumed Quantity,Resource Location,Consumed Service,Resource Group,Instance Id,Tags,Additional Info,Service Info 1,Service Info 2
7/16/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000074,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/16/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.004032,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/16/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.120055,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",3.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/16/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.004032,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/16/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/16/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",16.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",3.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/16/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",4.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/16/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",2.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/16/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/16/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000125,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",2.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",4.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/16/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",1.931200,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/17/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000516,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/17/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.576234,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/17/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/17/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000443,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
